rate,term,payment
0.1114592793,15.0000000000,1145.7771000000
0.0238910986,15.0000000000,661.5818000000
0.0788796942,15.0000000000,949.1958000000
0.0418659760,15.0000000000,749.0735000000
0.0617310523,15.0000000000,853.2376000000
0.0417950120,30.0000000000,487.8215000000
0.0527057796,15.0000000000,804.9601000000
0.0576532305,15.0000000000,831.2308000000
0.0644878400,30.0000000000,628.7036000000
0.0520829150,15.0000000000,801.6864000000
0.0631830578,15.0000000000,861.1501000000
0.0678582465,30.0000000000,650.9812000000
0.0976291306,30.0000000000,860.1029000000
0.1101934745,15.0000000000,1137.8121000000
0.0596754347,15.0000000000,842.1043000000
0.0675207523,15.0000000000,885.0245000000
0.0627712126,30.0000000000,617.4822000000
0.0952141016,30.0000000000,842.4168000000
0.0948352747,15.0000000000,1043.2309000000
0.0734154535,30.0000000000,688.3965000000
0.1006245854,30.0000000000,882.1905000000
0.0965995457,30.0000000000,852.5493000000
0.0055510470,15.0000000000,579.1343000000
0.0549572594,30.0000000000,567.5209000000
0.0891090222,30.0000000000,798.2201000000
0.0461421970,30.0000000000,513.4945000000
0.0881854780,15.0000000000,1003.5008000000
0.0506849206,30.0000000000,541.0153000000
0.0632304158,15.0000000000,861.4088000000
0.0814346980,15.0000000000,963.9530000000
0.0926272567,15.0000000000,1029.9549000000
0.0465933969,15.0000000000,773.1618000000
0.0610174787,30.0000000000,606.1077000000
0.0985216744,30.0000000000,866.6671000000
0.0709606180,30.0000000000,671.7664000000
0.0651210386,30.0000000000,632.8642000000
0.0642134357,30.0000000000,626.9041000000
0.0909733280,15.0000000000,1020.0649000000
0.0510445728,30.0000000000,543.2237000000
0.0285598701,30.0000000000,413.8769000000
0.0991100850,30.0000000000,871.0026000000
0.0741983193,15.0000000000,922.4626000000
0.0549761717,30.0000000000,567.6395000000
0.0865866498,30.0000000000,780.1862000000
0.0405034770,15.0000000000,742.2135000000
0.0944500114,15.0000000000,1040.9085000000
0.0769444152,30.0000000000,712.5768000000
0.0849851746,30.0000000000,768.8084000000
0.0507601649,15.0000000000,794.7591000000
0.1011834727,15.0000000000,1081.8568000000
0.0644711068,15.0000000000,868.2025000000
0.0724458829,15.0000000000,912.5579000000
0.0919873121,30.0000000000,818.9628000000
0.0569043851,30.0000000000,579.7947000000
0.0871462509,30.0000000000,784.1752000000
0.0617930144,15.0000000000,853.5744000000
0.1174704733,15.0000000000,1183.9425000000
0.0801935905,30.0000000000,735.1146000000
0.0729635021,15.0000000000,915.4776000000
0.0425002638,30.0000000000,491.9414000000
0.0431226060,15.0000000000,755.4333000000
0.0677275741,15.0000000000,886.1717000000
0.0698905164,30.0000000000,664.5674000000
0.0899504361,30.0000000000,804.2660000000
0.0653075897,30.0000000000,634.0922000000
0.0791367135,15.0000000000,950.6750000000
0.0258568172,30.0000000000,399.5901000000
0.0858679611,15.0000000000,989.8339000000
0.0432645609,30.0000000000,496.4262000000
0.0934072075,30.0000000000,829.2579000000
0.0557229092,30.0000000000,572.3329000000
0.0407481957,30.0000000000,481.7388000000
0.0648333729,15.0000000000,870.1916000000
0.0634852506,30.0000000000,622.1393000000
0.0939761934,15.0000000000,1038.0557000000
0.0999585990,30.0000000000,877.2656000000
0.0673596902,15.0000000000,884.1317000000
0.0760069248,30.0000000000,706.1223000000
0.0537416363,15.0000000000,810.4212000000
0.0677638026,15.0000000000,886.3727000000
0.0728773299,15.0000000000,914.9912000000
0.0689001575,30.0000000000,657.9325000000
0.0513747126,15.0000000000,797.9733000000
0.0552382356,15.0000000000,818.3482000000
0.0960649074,15.0000000000,1050.6601000000
0.0738681707,30.0000000000,691.4807000000
0.0443138835,15.0000000000,761.4914000000
0.0586895394,15.0000000000,836.7933000000
0.0606898749,30.0000000000,603.9930000000
0.0724907286,15.0000000000,912.8106000000
0.0379721564,15.0000000000,729.5671000000
0.0812369283,15.0000000000,962.8065000000
0.0728286998,30.0000000000,684.4072000000
0.0889530783,15.0000000000,1008.0481000000
0.0720957212,30.0000000000,679.4363000000
0.0615199326,15.0000000000,852.0904000000
0.0917085760,15.0000000000,1024.4557000000
0.0497080474,15.0000000000,789.2736000000
0.0714744396,30.0000000000,675.2341000000
0.0654010376,15.0000000000,873.3135000000
0.0636288254,30.0000000000,623.0776000000
0.0567891804,30.0000000000,579.0651000000
0.0944826651,15.0000000000,1041.1053000000
0.0386449238,15.0000000000,732.9157000000
0.0811975022,30.0000000000,742.1297000000
0.0778438548,15.0000000000,943.2464000000
0.0578132357,15.0000000000,832.0883000000
0.0650970503,30.0000000000,632.7064000000
0.0853860682,15.0000000000,987.0039000000
0.0960139145,30.0000000000,848.2618000000
0.0745007120,30.0000000000,695.7988000000
0.0600538711,30.0000000000,599.8969000000
0.0608377168,15.0000000000,848.3894000000
0.0786019903,15.0000000000,947.5989000000
0.1005311115,30.0000000000,881.4988000000
0.0875751426,30.0000000000,787.2371000000
0.0662676559,15.0000000000,878.0912000000
0.0431019109,30.0000000000,495.4700000000
0.0571947407,15.0000000000,828.7764000000
0.0783746174,30.0000000000,722.4656000000
0.0618472313,30.0000000000,611.4780000000
0.0537904568,30.0000000000,560.2235000000
0.0705397547,15.0000000000,901.8486000000
0.0469174203,15.0000000000,774.8291000000
0.0407698890,15.0000000000,743.5519000000
0.0575078229,30.0000000000,583.6226000000
0.0738433240,15.0000000000,920.4516000000
0.0835973004,30.0000000000,758.9946000000
0.0753252599,30.0000000000,701.4431000000
0.0458050591,30.0000000000,511.4800000000
0.0962642941,30.0000000000,850.0940000000
0.1077590265,30.0000000000,935.4290000000
0.0777121638,15.0000000000,942.4914000000
0.0537370365,30.0000000000,559.8904000000
0.0506967234,30.0000000000,541.0878000000
0.0600223796,30.0000000000,599.6944000000
0.0662718362,15.0000000000,878.1143000000
0.0833046013,30.0000000000,756.9305000000
0.0724424701,30.0000000000,681.7861000000
0.0229273593,15.0000000000,657.0765000000
0.1044960224,30.0000000000,910.9735000000
0.0561586499,30.0000000000,575.0798000000
0.0797052716,30.0000000000,731.7110000000
0.0690248191,30.0000000000,658.7661000000
0.0786284455,15.0000000000,947.7510000000
0.0368346643,15.0000000000,723.9261000000
0.0630805849,15.0000000000,860.5903000000
0.0853526220,30.0000000000,771.4139000000
0.0599244245,15.0000000000,843.4486000000
0.0898957304,15.0000000000,1013.6464000000
0.0937355367,15.0000000000,1036.6083000000
0.0795248714,30.0000000000,730.4551000000
0.1228024818,15.0000000000,1218.2567000000
0.0591021529,15.0000000000,839.0138000000
0.0843277759,15.0000000000,980.8031000000
0.0328553544,30.0000000000,437.1590000000
0.0779231564,30.0000000000,719.3386000000
0.0739510517,15.0000000000,921.0616000000
0.0608374362,30.0000000000,604.9451000000
0.0788018719,15.0000000000,948.7482000000
0.0843258665,30.0000000000,764.1410000000
0.0424217287,15.0000000000,751.8823000000
0.0456466550,15.0000000000,768.3023000000
0.0682107833,15.0000000000,888.8549000000
0.0898882707,15.0000000000,1013.6020000000
0.1070990747,30.0000000000,930.4689000000
0.0702768874,15.0000000000,900.3770000000
0.0351157234,15.0000000000,715.4510000000
0.0746851320,30.0000000000,697.0597000000
0.0067227921,15.0000000000,584.1934000000
0.0935998391,15.0000000000,1035.7925000000
0.0853736587,15.0000000000,986.9311000000
0.0885371522,30.0000000000,794.1195000000
0.0578310341,15.0000000000,832.1837000000
0.0742000888,30.0000000000,693.7453000000
0.0503563401,30.0000000000,539.0015000000
0.0633197154,30.0000000000,621.0584000000
0.0633225542,15.0000000000,861.9123000000
0.0687756910,30.0000000000,657.1005000000
0.0822224468,15.0000000000,968.5264000000
0.0588557059,30.0000000000,592.2135000000
0.0542716329,30.0000000000,563.2276000000
0.0522317606,15.0000000000,802.4680000000
0.0822968701,30.0000000000,749.8391000000
0.0716215334,30.0000000000,676.2281000000
0.0596098207,15.0000000000,841.7503000000
0.0581754843,30.0000000000,587.8710000000
0.0990048253,30.0000000000,870.2265000000
0.0733597169,30.0000000000,688.0172000000
0.0807266224,30.0000000000,738.8363000000
0.0538195563,15.0000000000,810.8329000000
0.0617663443,30.0000000000,610.9536000000
0.0802621004,30.0000000000,735.5925000000
0.0506807570,30.0000000000,540.9898000000
0.0905154202,15.0000000000,1017.3350000000
0.0514422126,30.0000000000,545.6702000000
0.0633350134,15.0000000000,861.9804000000
0.0843610376,30.0000000000,764.3897000000
0.0653719514,15.0000000000,873.1534000000
0.0291844071,15.0000000000,686.6658000000
0.0764217430,30.0000000000,708.9756000000
0.0856815366,30.0000000000,773.7488000000
0.0700389886,30.0000000000,665.5644000000
0.0863988870,30.0000000000,778.8493000000
0.0689830504,30.0000000000,658.4868000000
0.0872668768,15.0000000000,998.0724000000
0.0632525557,30.0000000000,620.6200000000
0.0847049806,15.0000000000,983.0110000000
0.0972850243,30.0000000000,857.5761000000
0.0532971478,30.0000000000,557.1514000000
0.0813491845,15.0000000000,963.4572000000
0.0684021183,15.0000000000,889.9186000000
0.0951632898,15.0000000000,1045.2102000000
0.0746333031,15.0000000000,924.9298000000
0.0646106448,15.0000000000,868.9684000000
0.0739389728,30.0000000000,691.9635000000
0.0460115092,15.0000000000,770.1730000000
0.0769146866,15.0000000000,937.9262000000
0.0553611377,15.0000000000,819.0011000000
0.0704204513,15.0000000000,901.1805000000
0.0739055034,15.0000000000,920.8037000000
0.0438841347,15.0000000000,759.3027000000
0.0591811065,15.0000000000,839.4391000000
0.1010253406,30.0000000000,885.1579000000
0.0481447072,30.0000000000,525.5404000000
0.0507330474,15.0000000000,794.6175000000
0.0464702049,15.0000000000,772.5285000000
0.0437552402,30.0000000000,499.3162000000
0.0627519015,30.0000000000,617.3565000000
0.0523666467,15.0000000000,803.1767000000
0.0871343390,30.0000000000,784.0903000000
0.0771991007,30.0000000000,714.3340000000
0.0713757597,15.0000000000,906.5373000000
0.0763059471,30.0000000000,708.1787000000
0.0691214590,15.0000000000,893.9237000000
0.0292481986,30.0000000000,417.5602000000
0.0858129369,15.0000000000,989.5106000000
0.0718756789,30.0000000000,677.9468000000
0.0963731450,30.0000000000,850.8910000000
0.0929103405,30.0000000000,825.6507000000
0.0757374544,30.0000000000,704.2712000000
0.0864501649,15.0000000000,993.2585000000
0.0363271348,30.0000000000,456.4856000000
0.0836744078,15.0000000000,976.9848000000
0.0532697226,15.0000000000,807.9307000000
0.0611933139,15.0000000000,850.3174000000
0.0777254403,30.0000000000,717.9707000000
0.0582534815,15.0000000000,834.4502000000
0.0661549870,30.0000000000,639.6829000000
0.0671912850,30.0000000000,646.5473000000
0.1000142609,30.0000000000,877.6770000000
0.0984809379,15.0000000000,1065.3310000000
0.0697416461,30.0000000000,663.5683000000
0.1173782198,30.0000000000,1008.4765000000
0.0973055944,30.0000000000,857.7271000000
0.0849621422,30.0000000000,768.6452000000
0.0730694631,30.0000000000,686.0431000000
0.0344175820,15.0000000000,712.0258000000
0.0673345565,30.0000000000,647.4987000000
0.0861005074,15.0000000000,991.2011000000
0.0548928488,15.0000000000,816.5150000000
0.0407140064,30.0000000000,481.5408000000
0.0498936475,30.0000000000,536.1718000000
0.0926493919,15.0000000000,1030.0876000000
0.0665317831,15.0000000000,879.5502000000
0.0673143817,30.0000000000,647.3647000000
0.0762869876,30.0000000000,708.0482000000
0.0431561950,15.0000000000,755.6038000000
0.0664096372,15.0000000000,878.8753000000
0.1227917888,30.0000000000,1050.1523000000
0.0704954993,30.0000000000,668.6336000000
0.0585714729,30.0000000000,590.3973000000
0.0649662190,30.0000000000,631.8459000000
0.0832776689,30.0000000000,756.7407000000
0.0903625829,15.0000000000,1016.4246000000
0.0890321074,30.0000000000,797.6682000000
0.0822411441,15.0000000000,968.6350000000
0.0699505894,30.0000000000,664.9707000000
0.0755515160,30.0000000000,702.9949000000
0.0733916964,15.0000000000,917.8966000000
0.0532315053,30.0000000000,556.7432000000
0.0774006439,30.0000000000,715.7258000000
0.0808111040,15.0000000000,960.3405000000
0.0840507446,15.0000000000,979.1832000000
